Price,Brand,Model,Variant,Series,Year,Kilometers,Type,Gearbox,Fuel,Status,CC,Color,Seating Capacity
16790,Honda,CR-V,VTI (4X2),30 Series 2,2015,123422,Wagon,Manual,Unleaded Petrol,Used,1997,White,5
4000,Nissan,Pulsar,Q,N16,2001,255000,Sedan,Automatic,Unleaded Petrol,Used,1769,Other,5
27990,Land Rover,Range Rover Sport,3.0 TDV6,MY10,2010,176594,Wagon,Automatic,Diesel,Used,2993,Gold,5
7000,Audi,A3,Sportback 1.8 Tfsi Ambition,8P,2007,167000,Hatchback,Automatic,Premium Unleaded Petrol,Used,1798,Grey,5
16999,Jeep,Wrangler,Sport (4X4),JK MY09,2010,209000,Softtop,Manual,Unleaded Petrol,Used,3778,Black,4
33000,Hyundai,Tucson,Elite (awd) Black INT,TL3 MY20,2019,65000,Wagon,Automatic,Diesel,Used,1995,Pepper,5
35500,Mazda,CX-5,Maxx Sport (4X2),MY19 (KF Series 2),2019,45000,Wagon,Automatic,Unleaded Petrol,Used,1997,Blue,5
40000,Ford,Fiesta,ST,WG MY21,2021,4000,Hatchback,Manual,Premium Unleaded Petrol,Used,1497,Black,5
13990,Suzuki,Grand Vitara,(4X4),JT MY08 Upgrade,2012,244983,Wagon,Manual,Unleaded Petrol,Used,2393,White,5
22999,Holden,Calais,V,VF,2013,139911,Sportswagon,Automatic,Unleaded Petrol,Used,3565,Red,5
20990,Holden,Colorado,LX (4X2),RG,2013,165549,Cab Chassis,Automatic,Diesel,Used,2776,White,2
19888,Kia,Sportage,SLI (awd),SL MY13,2012,79000,Wagon,Automatic,Diesel,Used,1995,Silver,5
38990,Mitsubishi,Pajero Sport,Exceed (4X4) 7 Seat,MY16,2016,134426,Wagon,Automatic,Diesel,Used,2442,Red,7
17995,Toyota,Landcruiser Prado,Grande (4X4),GRJ120R,2003,264176,Wagon,Automatic,Unleaded Petrol,Used,3955,Silver,8
82990,Ford,Ranger,Raptor X 2.0 (4X4),PX Mkiii MY21.75,2021,19184,Double Cab Pick Up,Automatic,Diesel,Used,1996,White,5
36000,Holden,Colorado,LTZ (4X4),RG MY15,2015,110523,Crew Cab Pickup,Manual,Diesel,Used,2776,White,5
32750,Holden,Colorado,Z71 (4X4),RG MY16,2015,195734,Crew Cab Pickup,Automatic,Diesel,Used,2776,White,5
38890,Toyota,Landcruiser Prado,GX (4X4),KDJ150R MY14,2014,199872,Wagon,Manual,Diesel,Used,2982,White,5
26000,Audi,Q5,2.0 TDI Quattro,8R MY15,2015,146867,Wagon,Automatic,Diesel,Used,1968,White,5
